2016-06-14 14:56:58 | INFO  | 212:blackboard.ws.client.WebServiceClient              | User server version: 1
2016-06-14 14:56:58 | INFO  | 216:blackboard.ws.client.WebServiceClient              | Util server version: 2
2016-06-14 14:56:58 | INFO  | 222:blackboard.ws.client.WebServiceClient              | Initializing the session...
2016-06-14 14:56:59 | INFO  | 225:blackboard.ws.client.WebServiceClient              | Session Id: 58407e1d03ec44ab91ac9e683ac546a6
2016-06-14 14:56:59 | INFO  | 227:blackboard.ws.client.WebServiceClient              | Initializing Util Context...
2016-06-14 14:56:59 | INFO  | 234:blackboard.ws.client.WebServiceClient              | Initializing User Context...
2016-06-14 14:57:11 | INFO  | 116:blackboard.ws.client.GradeExtractApp               | EXTRACT STARTED : Tue Jun 14 14:57:11 CST 2016
2016-06-14 14:57:11 | INFO  | 160:blackboard.ws.client.WebServiceClient              | Initializing...
2016-06-14 14:57:11 | INFO  |  63:org.apache.axis2.deployment.ClusterBuilder         | Clustering has been disabled
2016-06-14 14:57:11 | INFO  |1098:org.apache.axis2.deployment.DeploymentEngine       | No services directory was found under C:\Users\cbonilla\Documents\GitHub\AIEP-GradeExtract\lib\axis2-1.6.2\lib.
2016-06-14 14:57:11 | INFO  |1109:org.apache.axis2.deployment.DeploymentEngine       | No modules directory was found under C:\Users\cbonilla\Documents\GitHub\AIEP-GradeExtract\lib\axis2-1.6.2\lib.
2016-06-14 14:57:11 | INFO  |  82:org.apache.axis2.deployment.ModuleDeployer         | Deploying module: addressing-1.6.2 - file:/C:/Users/cbonilla/Documents/GitHub/AIEP-GradeExtract/lib/axis2-1.6.2/lib/addressing-1.6.2.mar
2016-06-14 14:57:11 | INFO  |  82:org.apache.axis2.deployment.ModuleDeployer         | Deploying module: rampart-1.6.2 - file:/C:/Users/cbonilla/Documents/GitHub/AIEP-GradeExtract/lib/axis2-1.6.2/lib/rampart-1.6.2.mar
2016-06-14 14:57:11 | INFO  | 204:blackboard.ws.client.WebServiceClient              | Checking versions...
2016-06-14 14:57:12 | INFO  | 208:blackboard.ws.client.WebServiceClient              | Context server version: 2
2016-06-14 14:57:12 | INFO  | 212:blackboard.ws.client.WebServiceClient              | User server version: 1
2016-06-14 14:57:13 | INFO  | 216:blackboard.ws.client.WebServiceClient              | Util server version: 2
2016-06-14 14:57:13 | INFO  | 222:blackboard.ws.client.WebServiceClient              | Initializing the session...
2016-06-14 14:57:13 | INFO  | 225:blackboard.ws.client.WebServiceClient              | Session Id: 039fe429e20643cfbeeb4c0d38fc6280
2016-06-14 14:57:13 | INFO  | 227:blackboard.ws.client.WebServiceClient              | Initializing Util Context...
2016-06-14 14:57:13 | INFO  | 234:blackboard.ws.client.WebServiceClient              | Initializing User Context...
2016-06-14 14:57:14 | INFO  | 241:blackboard.ws.client.WebServiceClient              | Initializing Course Context...
2016-06-14 14:57:14 | INFO  | 248:blackboard.ws.client.WebServiceClient              | Initializing Course Membership Context...
2016-06-14 14:57:15 | INFO  | 255:blackboard.ws.client.WebServiceClient              | Initializing Gradebook Context...
2016-06-14 14:57:15 | INFO  | 263:blackboard.ws.client.WebServiceClient              | Registering Tool...
2016-06-14 14:57:15 | WARN  | 276:blackboard.ws.client.WebServiceClient              | Errors/warnings registering tool: 
2016-06-14 14:57:15 | WARN  | 279:blackboard.ws.client.WebServiceClient              |  - Cannot reregister an activated client
2016-06-14 14:57:15 | INFO  | 284:blackboard.ws.client.WebServiceClient              | Initialization complete.
2016-06-14 14:57:16 | INFO  | 144:blackboard.ws.client.GradeExtractApp               | Loading courses...
2016-06-14 14:57:16 | INFO  | 155:blackboard.ws.client.GradeExtractApp               | Total number of courses: 0
2016-06-14 14:57:16 | INFO  | 233:blackboard.ws.client.GradeExtractApp               | Closing report file stream.
